Expression,Value
10/34,0.29411764705882354
76*72,5472
64*74,4736
69-52,17
28+59,87
28+86,114
58+70,128
13/29,0.4482758620689655
8+39,47
88*49,4312
75/64,1.171875
20/41,0.4878048780487805
87-66,21
92/5,18.4
5-49,-44
32+52,84
12-15,-3
6-74,-68
35*72,2520
90+66,156
75*48,3600
65*18,1170
65-91,-26
26+52,78
36/27,1.3333333333333333
91*2,182
8/72,0.1111111111111111
11-41,-30
95*63,5985
75/20,3.75
81+96,177
75+52,127
65+9,74
40-60,-20
33+24,57
29/47,0.6170212765957447
13+5,18
31-35,-4
41+51,92
23+2,25
65-1,64
87/65,1.3384615384615384
81*61,4941
51/57,0.8947368421052632
82/61,1.3442622950819672
0/6,0.0
82*84,6888
67*33,2211
85*3,255
29-68,-39
94-94,0
62+62,124
37/40,0.925
7-59,-52
74-91,-17
29/44,0.6590909090909091
52-29,23
89-83,6
24/9,2.6666666666666665
29-81,-52
39+89,128
69/86,0.8023255813953488
0+76,76
45+28,73
47+4,51
37/50,0.74
87-23,64
88*78,6864
25+31,56
39-98,-59
38/8,4.75
34*50,1700
93/83,1.1204819277108433
83-50,33
18*75,1350
61-60,1
79*30,2370
89-8,81
45+11,56
59/42,1.4047619047619047
47/42,1.119047619047619
57/37,1.5405405405405406
3+10,13
68*49,3332
71+83,154
11+85,96
22*14,308
71/23,3.0869565217391304
50+73,123
81/89,0.9101123595505618
39-12,27
23-6,17
84+73,157
84/14,6.0
84-73,11
43-57,-14
43+39,82
84/14,6.0
18+18,36
25+91,116
6-3,3
97+55,152
69-36,33
77*39,3003
7*66,462
26/38,0.6842105263157895
73-31,42
0+74,74
26/88,0.29545454545454547
51+50,101
21/10,2.1
53+6,59
90/41,2.1951219512195124
8-84,-76
93+17,110
94-82,12
1*51,51
18+7,25
78-11,67
72/34,2.1176470588235294
51-23,28
91-31,60
19*72,1368
30/52,0.5769230769230769
80/41,1.951219512195122
72*49,3528
11-19,-8
73-52,21
59-13,46
5-13,-8
12/20,0.6
76/54,1.4074074074074074
28/98,0.2857142857142857
46/67,0.6865671641791045
36+91,127
44*44,1936
39+34,73
23*72,1656
29-96,-67
42-29,13
86*58,4988
5*63,315
49/41,1.1951219512195121
34-36,-2
47-69,-22
44-69,-25
7-70,-63
28+87,115
51/16,3.1875
10*15,150
60*93,5580
55*13,715
61*22,1342
48/72,0.6666666666666666
79*1,79
12/57,0.21052631578947367
8/85,0.09411764705882353
69+14,83
39/31,1.2580645161290323
67-53,14
79/48,1.6458333333333333
6*90,540
13*82,1066
92-97,-5
39/7,5.571428571428571
3*49,147
27/30,0.9
91-53,38
96-54,42
5*99,495
9-66,-57
91*6,546
63*74,4662
98*60,5880
50*6,300
2/18,0.1111111111111111
68-65,3
63*10,630
87/38,2.289473684210526
79-85,-6
4*29,116
14*29,406
36-60,-24
49/74,0.6621621621621622
93+54,147
58+96,154
61-40,21
11-86,-75
8*30,240
8*72,576
4+43,47
47-84,-37
17+51,68
81*90,7290
17+92,109
11*8,88
83/91,0.9120879120879121
65-5,60
67-85,-18
82*33,2706
80*73,5840
16-52,-36
57+55,112
79*67,5293
58/97,0.5979381443298969
68*24,1632
62*31,1922
32*60,1920
16*36,576
94-40,54
36*1,36
10*91,910
41-93,-52
84-64,20
31+78,109
55*36,1980
45/41,1.0975609756097562
60/37,1.6216216216216217
65-47,18
41*58,2378
8*71,568
26-27,-1
45+33,78
30/59,0.5084745762711864
5/1,5.0
77+43,120
61/2,30.5
99-10,89
22+81,103
90-69,21
56-86,-30
56+6,62
74/76,0.9736842105263158
28+42,70
39+51,90
22*44,968
76*99,7524
47*26,1222
38-75,-37
27-48,-21
91*26,2366
13-65,-52
81*54,4374
67/25,2.68
6+64,70
89*37,3293
